Step	Loss	Loss per Cell	 Change 
235	6319446528.0	830304.3657863619	7934.486401261296
236	6259460096.0	822422.8217054263	7881.544080935535
237	6200534016.0	814680.5959795034	7742.225725922966
238	6143081472.0	807131.9763500197	7548.61962948367
239	6086541312.0	799703.2337406386	7428.742609381094
240	6029547008.0	792214.8217054263	7488.41203521227
241	5973515776.0	784852.9465247667	7361.875180659583
242	5917364224.0	777475.26264617	7377.683878596756
243	5862115328.0	770216.1776376298	7259.085008540191
244	5807530496.0	763044.3431874918	7171.834450138034
245	5754627072.0	756093.4268821443	6950.916305347462
246	5701757952.0	749147.0177374852	6946.409144659061
247	5649219584.0	742244.0656943897	6902.952043095487
248	5597127680.0	735399.7740112995	6844.291683090269
249	5545099264.0	728563.8239390356	6835.950072263833
250	5494228480.0	721879.9737222441	6683.850216791499
251	5443948544.0	715273.7543029825	6606.2194192616735
252	5394685440.0	708801.135199054	6472.619103928446
253	5345696768.0	702364.5733806333	6436.561818420771
254	5297492480.0	696031.070818552	6333.502562081208
255	5250017792.0	689793.4295099198	6237.641308632214
256	5203380224.0	683665.7763762975	6127.653133622371
257	5157565952.0	677646.2950991986	6019.481277098879
258	5112600576.0	671738.3492313756	5907.945867822971
259	5068903936.0	665997.1010379713	5741.248193404288
260	5024945664.0	660221.4773354356	5775.623702535755
261	4980298240.0	654355.3067927998	5866.170542635722
262	4936982528.0	648664.1082643542	5691.198528445675
263	4895221248.0	643177.1446590461	5486.96360530809
264	4853794816.0	637734.1763237419	5442.968335304176
265	4813055488.0	632381.4857443174	5352.690579424496
266	4772436992.0	627044.6711338852	5336.814610432251
267	4732208128.0	621759.0497963474	5285.62133753777
268	4693121024.0	616623.4429115753	5135.606884772074
269	4653947904.0	611476.5344895546	5146.90842202073
270	4614671872.0	606316.1045854684	5160.429904086166
271	4576299520.0	601274.4080935488	5041.696491919574
272	4538743296.0	596339.941663382	4934.466430166853
273	4500952576.0	591374.6650900013	4965.276573380688
274	4463976960.0	586516.4840362633	4858.181053737993
275	4427640320.0	581742.25725923	4774.226777033298
276	4390988288.0	576926.5915122848	4815.665746945189
277	4355273216.0	572234.0317960846	4692.559716200223
278	4319811584.0	567574.771252135	4659.260543949553
279	4284308480.0	562910.0617527263	4664.709499408724
280	4249480448.0	558334.0491394035	4576.012613322819
281	4214112512.0	553687.0991985284	4646.949940875056
282	4177958400.0	548936.8545526213	4750.244645907194
283	4144371968.0	544523.9742477993	4412.880304822
284	4112026112.0	540274.091709368	4249.882538431208
285	4079198208.0	535960.8734726055	4313.218236762565
286	4047537664.0	531801.0332413611	4159.840231244336
287	4015894016.0	527643.4129549336	4157.620286427555
288	3984834560.0	523562.54894232034	4080.8640126132523
289	3953613824.0	519460.49454736564	4102.054394954699
290	3921876480.0	515290.5636578636	4169.930889502051
291	3889827840.0	511079.73196689005	4210.831690973544
292	3860261632.0	507195.0639863356	3884.6679805544554
293	3828391424.0	503007.6762580476	4187.387728288013
294	3799974656.0	499274.0317960846	3733.6444619629765
295	3770618112.0	495416.9113125739	3857.12048351072
296	3742924032.0	491778.2199448167	3638.6913677571574
297	3715424000.0	488165.0243069242	3613.1956378925242
298	3688364800.0	484609.74904743134	3555.2752594928606
299	3660932096.0	481005.39955327817	3604.349494153168
300	3633915392.0	477455.7077913546	3549.6917619235464
301	3607567616.0	473993.9056628564	3461.8021284982096
302	3581045248.0	470509.1641045855	3484.7415582709364
303	3555115520.0	467102.2887925371	3406.87531204836
304	3529574912.0	463746.5394823282	3355.749310208892
305	3503597056.0	460333.340691105	3413.198791223229
306	3477874688.0	456953.71015635267	3379.6305347523303
307	3452868352.0	453668.1581920904	3285.5519642622676
308	3428366336.0	450448.8682170543	3219.2899750361103
309	3404311808.0	447288.3731441335	3160.4950729208067
